time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
820,0.049793631,0.050012056,0.050211497,0.056504568,0.049826413,0.050519552
830,0.049808827,0.050330797,0.050515077,0.056474013,0.050432905,0.050536495
840,0.049824012,0.05050682,0.050548965,0.056443438,0.054070092,0.053861035
850,0.049839189,0.050273175,0.050315462,0.056412844,0.052051575,0.052189611
860,0.049854356,0.049564118,0.049594235,0.056382229,0.05212482,0.052694406
870,0.049869513,0.049444658,0.049468609,0.056351595,0.053502236,0.054463766
880,0.049884661,0.049891206,0.050168738,0.056320941,0.048874736,0.049609069
890,0.049899799,0.050224508,0.05050417,0.056290268,0.049446054,0.049445687
900,0.049914928,0.050508608,0.050586699,0.056259574,0.052948364,0.052555491
910,0.049930047,0.05033347,0.05039646,0.056228861,0.051056504,0.050884645
920,0.049945157,0.049656295,0.049714735,0.056198128,0.052139747,0.052411164
930,0.049960257,0.049458741,0.04954363,0.056167376,0.05368335,0.05459186
940,0.049975347,0.049726202,0.050061318,0.056136603,0.048648155,0.049372716
950,0.049990428,0.050064377,0.050401441,0.056105811,0.049011855,0.048851473
960,0.0500055,0.050464988,0.050589551,0.056075,0.051998256,0.051306874
970,0.050020561,0.050363715,0.050460052,0.056044168,0.050065358,0.049538059
980,0.050035613,0.049705351,0.049768534,0.056013317,0.051963881,0.051851844
990,0.050050656,0.049456457,0.049552172,0.055982447,0.053719545,0.054358703
1000,0.050065688,0.049542913,0.049952965,0.055951556,0.048918474,0.049502604
1010,0.050080711,0.049872335,0.050263874,0.055920646,0.049198484,0.04887045
1020,0.050095725,0.050425154,0.050547564,0.055889717,0.05149308,0.050529607
1030,0.050110729,0.050379422,0.050476199,0.055858767,0.049503395,0.048526499
1040,0.050125723,0.049745507,0.049811845,0.055827799,0.051958782,0.051376242
1050,0.050140707,0.049448675,0.04955428,0.05579681,0.053819464,0.054093081
1060,0.050155682,0.04936646,0.049764831,0.055765802,0.049617142,0.049918349
1070,0.050170647,0.049689412,0.050118627,0.055734775,0.049820951,0.04929071
1080,0.050185602,0.050393399,0.05052247,0.055703728,0.05109902,0.049916942
1090,0.050200547,0.050413315,0.05046675,0.055672661,0.04905281,0.047724521
1100,0.050215483,0.049792026,0.049811948,0.055641575,0.051930256,0.050861872
1110,0.050230409,0.049454235,0.049530801,0.05561047,0.053903909,0.053679764
1120,0.050245326,0.049247596,0.04963085,0.055579345,0.050753174,0.050721949
1130,0.050260232,0.049538347,0.049949277,0.0555482,0.05105693,0.05034658
1140,0.050275129,0.050396725,0.0504805,0.055517036,0.051129131,0.049845098
1150,0.050290016,0.050472222,0.050484138,0.055485853,0.04884895,0.047285487
1160,0.050304893,0.049866469,0.049817243,0.05545465,0.051824608,0.050372793
1170,0.05031976,0.04951348,0.049493989,0.055423428,0.053676078,0.0529863
1180,0.050334618,0.049190482,0.049487559,0.055392186,0.051744844,0.051285239
1190,0.050349466,0.049468393,0.049875084,0.055360925,0.052408528,0.051539386
1200,0.050364304,0.050461578,0.05047853,0.055329645,0.051393817,0.050233714
1210,0.050379132,0.050564551,0.050473112,0.055298345,0.048934548,0.04736342
1220,0.05039395,0.049989382,0.049859655,0.055267026,0.051821688,0.050103344
1230,0.050408758,0.049608452,0.049469364,0.055235687,0.053414165,0.052354255
1240,0.050423557,0.049215862,0.049386708,0.055204329,0.052680318,0.051898056
1250,0.050438346,0.049497436,0.049842897,0.055172952,0.053814294,0.052729042
1260,0.050453124,0.050568677,0.05053176,0.055141555,0.051755737,0.050898033
1270,0.050467893,0.050714964,0.050533609,0.05511014,0.048993095,0.047754755
1280,0.050482652,0.050155559,0.049902421,0.055078705,0.051553449,0.049780844
1290,0.050497401,0.049746066,0.049447434,0.05504725,0.052869553,0.051584075
1300,0.050512141,0.049327166,0.049364211,0.055015777,0.05329418,0.052288616
1310,0.05052687,0.049606507,0.049897525,0.054984284,0.05502259,0.053787189
1320,0.050541589,0.050727603,0.050595557,0.054952772,0.052277327,0.051852096
1330,0.050556299,0.050910143,0.050643988,0.054921241,0.049307205,0.048634278
1340,0.050570998,0.050362008,0.050028689,0.05488969,0.051285007,0.049723535
1350,0.050585687,0.049933161,0.049446019,0.054858121,0.052140997,0.050860573
1360,0.050600367,0.049502701,0.049385501,0.054826532,0.053457556,0.052375178
1370,0.050615037,0.049798225,0.050028232,0.054794924,0.055641578,0.054326055
1380,0.050629696,0.050921505,0.050735732,0.054763297,0.052666509,0.052734741
1390,0.050644346,0.051128929,0.05076689,0.054731651,0.049650074,0.049781193
1400,0.050658985,0.050591635,0.050173844,0.054699986,0.050876362,0.049723161
1410,0.050673615,0.050145155,0.049528907,0.054668301,0.051290988,0.050211656
1420,0.050688234,0.04972971,0.049474859,0.054636598,0.053410316,0.052463459
1430,0.050702844,0.050026703,0.050196221,0.054604875,0.055878303,0.05471653
1440,0.050717443,0.051129848,0.050893276,0.054573134,0.053047472,0.0535043
1450,0.050732033,0.051370222,0.0509426,0.054541373,0.050063394,0.051054036
1460,0.050746612,0.050830129,0.050356611,0.054509594,0.050238933,0.049794283
1470,0.050761182,0.050371474,0.04963015,0.054477795,0.050183954,0.049418711
1480,0.050775741,0.049963238,0.049651189,0.054445977,0.052878212,0.052208868
1490,0.05079029,0.050269176,0.050433746,0.054414141,0.055418617,0.054718193
1500,0.050804829,0.051336342,0.051074171,0.054382285,0.053173296,0.053896814
1510,0.050819358,0.051592098,0.051091011,0.054350411,0.050616146,0.052346071
1520,0.050833877,0.05108742,0.050591063,0.054318517,0.049767448,0.05017392
1530,0.050848386,0.050588209,0.049831514,0.054286605,0.049207969,0.048921213
1540,0.050862885,0.050196084,0.049824468,0.054254674,0.052127864,0.051934097
1550,0.050877373,0.050508923,0.050738387,0.054222724,0.054462286,0.054290472
1560,0.050891852,0.051474231,0.051290198,0.054190754,0.052856073,0.053775447
1570,0.05090632,0.051789057,0.051232998,0.054158767,0.050993583,0.053264126
1580,0.050920778,0.051325223,0.050829512,0.05412676,0.049199525,0.050477345
1590,0.050935226,0.05076654,0.050060557,0.054094734,0.048126765,0.048454855
1600,0.050949664,0.050447892,0.050073605,0.05406269,0.051197085,0.051637802
1610,0.050964091,0.05068816,0.051023768,0.054030627,0.053275825,0.05367321
1620,0.050978509,0.051555883,0.051500331,0.053998545,0.052358944,0.05337064
1630,0.050992916,0.051940342,0.051452773,0.053966444,0.051457809,0.053933243
1640,0.051007313,0.05149156,0.05104965,0.053934324,0.048810027,0.050909093
1650,0.0510217,0.050942228,0.050280964,0.053902186,0.047013145,0.048134009
1660,0.051036077,0.050661673,0.050328223,0.053870029,0.05001405,0.051156937
1670,0.051050443,0.050816191,0.051329366,0.053837853,0.051595886,0.052527593
1680,0.051064799,0.051602033,0.051702891,0.053805659,0.05142783,0.052484072
1690,0.051079145,0.051980808,0.051654908,0.053773446,0.051710501,0.05403294
1700,0.051093481,0.051636271,0.051307281,0.053741214,0.048591139,0.051238903
1710,0.051107806,0.051093818,0.05050751,0.053708964,0.046309337,0.048330758
1720,0.051122121,0.050791016,0.050548038,0.053676695,0.048982733,0.050919207
1730,0.051136426,0.050920111,0.051581321,0.053644407,0.049880805,0.051247672
1740,0.051150721,0.051555806,0.051911881,0.053612101,0.050348559,0.051304778
1750,0.051165005,0.05196213,0.051867476,0.053579776,0.051682777,0.053620114
1760,0.051179279,0.05174402,0.051514023,0.053547433,0.048396132,0.051141273
1770,0.051193543,0.051170133,0.050748441,0.053515071,0.045730866,0.048512963
1780,0.051207797,0.050904143,0.050778908,0.05348269,0.047901092,0.050687541
1790,0.05122204,0.050939377,0.051756762,0.053450291,0.048152751,0.049861341
1800,0.051236272,0.051445976,0.052080244,0.053417874,0.049240907,0.0499706
1810,0.051250495,0.05193162,0.052072932,0.053385438,0.051648731,0.052915657
1820,0.051264707,0.051758633,0.051720965,0.053352983,0.048444448,0.050804902
1830,0.051278909,0.051231706,0.050949916,0.053320511,0.045639334,0.0488674
1840,0.0512931,0.050968042,0.050987831,0.053288019,0.047131931,0.050622196
1850,0.051307281,0.050879682,0.051908293,0.053255509,0.046473609,0.048430028
1860,0.051321452,0.051315087,0.052205352,0.053222981,0.048098454,0.048455413
1870,0.051335612,0.051852752,0.052224323,0.053190435,0.05132863,0.051668018
1880,0.051349762,0.051776597,0.051924322,0.05315787,0.048456838,0.049973409
1890,0.051363902,0.051236406,0.05115936,0.053125286,0.04607266,0.049151808
1900,0.051378031,0.050974335,0.051121491,0.053092685,0.046756323,0.050802467
1910,0.05139215,0.050805973,0.051995916,0.053060065,0.04522629,0.047272264
1920,0.051406258,0.051111108,0.052317243,0.053027426,0.04734573,0.047114047
